epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.07153,0.97642,3.64026,1.08585,0.00333,0.95,0.58577,0.52304,0.48108,2.9738,0.85131,8e-05,8e-05,8e-05
2,3.97723,0.58698,2.70055,0.90131,0.00351,1,0.86586,0.76414,0.43885,2.71586,0.78888,0.000178218,0.000178218,0.000178218
3,6.08571,0.4214,1.45597,0.81278,1,0.83926,0.94677,0.85586,0.41221,2.5291,0.78355,0.000274456,0.000274456,0.000274456
4,8.06926,0.42676,1.36653,0.79358,0.95659,0.9,0.9427,0.88567,0.32256,2.57409,0.77905,0.000368714,0.000368714,0.000368714
5,9.45335,0.36419,1.27934,0.81455,0.88096,0.95,0.94534,0.88906,0.33864,2.52316,0.78372,0.000460992,0.000460992,0.000460992
6,10.8678,0.36312,1.22882,0.77911,1,0.91722,0.94534,0.88854,0.32613,2.49722,0.77436,0.00055129,0.00055129,0.00055129
7,12.2516,0.39466,1.18093,0.80835,1,0.87722,0.94523,0.86701,0.3676,2.50432,0.78067,0.000639608,0.000639608,0.000639608
8,13.597,0.39733,1.19798,0.80015,0.96038,0.95,0.94537,0.85867,0.42017,2.49914,0.79996,0.000725946,0.000725946,0.000725946
9,14.9915,0.3915,1.18031,0.80613,1,0.49604,0.94529,0.87867,0.4287,2.4298,0.81284,0.000810304,0.000810304,0.000810304
10,16.5915,0.41007,1.17932,0.8068,1,0.72455,0.94541,0.86308,0.46034,2.28538,0.82459,0.000892682,0.000892682,0.000892682
11,17.946,0.4245,1.16159,0.8124,1,0.89869,0.94539,0.86821,0.40992,2.08272,0.81644,0.00097308,0.00097308,0.00097308
12,19.9563,0.42649,1.07086,0.82577,1,0.86723,0.93164,0.86141,0.40044,1.98247,0.79078,0.0010515,0.0010515,0.0010515
13,22.063,0.41601,1.13837,0.81169,1,0.88244,0.9364,0.87773,0.36594,1.92214,0.78133,0.00112794,0.00112794,0.00112794
14,23.7383,0.42935,1.06422,0.82191,0.99377,0.95,0.9451,0.85469,0.41338,1.87537,0.79776,0.00120239,0.00120239,0.00120239
15,25.1104,0.37569,1.0354,0.79672,0.99341,0.95,0.9451,0.82781,0.44377,1.32764,0.79213,0.00127487,0.00127487,0.00127487
16,26.4841,0.39153,1.04651,0.80146,0.99906,0.95,0.9451,0.9025,0.37324,1.1662,0.77831,0.00134537,0.00134537,0.00134537
17,27.7845,0.42906,0.96943,0.8124,0.99573,0.95,0.94722,0.87685,0.4058,1.00943,0.78167,0.00141389,0.00141389,0.00141389
18,29.1211,0.41909,0.95752,0.80539,0.99629,0.95,0.94542,0.87798,0.41043,0.90561,0.78468,0.00148043,0.00148043,0.00148043
19,30.3979,0.40431,0.94733,0.83491,0.99561,0.95,0.9451,0.87231,0.41495,0.86963,0.78105,0.00154498,0.00154498,0.00154498
20,31.8246,0.42248,0.88836,0.75942,1,0.89754,0.94274,0.88331,0.41057,0.88135,0.78332,0.00160756,0.00160756,0.00160756
21,33.1644,0.4399,0.94459,0.81473,0.98939,0.9,0.94071,0.88307,0.38022,0.95008,0.77858,0.001604,0.001604,0.001604
